appid,name,genres,steamspy_tags,steamspy_tags_weighted
1178830,Bright Memory: Infinite,"Action, Indie",Action;Female Protagonist;Sexual Content;FPS;Indie;Singleplayer;Shooter;Sci-fi;Hack and Slash;First-Person;Mature;Gore;Violent;Souls-like;Character Customization;Short;Multiplayer;Swordplay;Futuristic;Realistic,"{""Action"": 351, ""Female Protagonist"": 315, ""Sexual Content"": 274, ""FPS"": 258, ""Indie"": 213, ""Singleplayer"": 184, ""Shooter"": 171, ""Sci-fi"": 169, ""Hack and Slash"": 153, ""First-Person"": 153, ""Mature"": 143, ""Gore"": 137, ""Violent"": 120, ""Souls-like"": 66, ""Character Customization"": 62, ""Short"": 57, ""Multiplayer"": 39, ""Swordplay"": 36, ""Futuristic"": 36, ""Realistic"": 27}"
1230140,ATRI -My Dear Moments-,"Adventure, Casual",Visual Novel;Anime;Story Rich;Cute;Romance;Dating Sim;Casual;Multiple Endings;Emotional;Adventure;Great Soundtrack;Singleplayer;Drama;Sexual Content;Post-apocalyptic;Sci-fi;Mature;Nudity;Choices Matter;Hentai,"{""Visual Novel"": 414, ""Anime"": 282, ""Story Rich"": 267, ""Cute"": 267, ""Romance"": 252, ""Dating Sim"": 209, ""Casual"": 197, ""Multiple Endings"": 171, ""Emotional"": 148, ""Adventure"": 145, ""Great Soundtrack"": 133, ""Singleplayer"": 126, ""Drama"": 97, ""Sexual Content"": 94, ""Post-apocalyptic"": 80, ""Sci-fi"": 71, ""Mature"": 59, ""Nudity"": 43, ""Choices Matter"": 26, ""Hentai"": 19}"
1277930,Riddle Joker,"Adventure, Casual",Visual Novel;Sexual Content;Romance;Cute;Dating Sim;Story Rich;Anime;Casual;FPS;Nudity;Choices Matter;Relaxing;Conversation;Narration;Fantasy;Atmospheric;Comedy;Adventure;Mystery;Singleplayer,"{""Visual Novel"": 277, ""Sexual Content"": 249, ""Romance"": 235, ""Cute"": 207, ""Dating Sim"": 201, ""Story Rich"": 190, ""Anime"": 188, ""Casual"": 187, ""FPS"": 184, ""Nudity"": 153, ""Choices Matter"": 148, ""Relaxing"": 144, ""Conversation"": 119, ""Narration"": 102, ""Fantasy"": 90, ""Atmospheric"": 80, ""Comedy"": 76, ""Adventure"": 55, ""Mystery"": 48, ""Singleplayer"": 48}"
1345740,恋爱绮谭~不存在的夏天~,"Adventure, Casual, Simulation",Visual Novel;Mystery;LGBTQ+;Anime;Casual;Word Game;Cute;Interactive Fiction;Dating Sim;Romance;Story Rich;Text-Based;Adventure;Singleplayer;Simulation;Sexual Content;Multiple Endings;Mature;Psychological Horror;Thriller,"{""Visual Novel"": 152, ""Mystery"": 136, ""LGBTQ+"": 123, ""Anime"": 123, ""Casual"": 121, ""Word Game"": 117, ""Cute"": 111, ""Interactive Fiction"": 110, ""Dating Sim"": 109, ""Romance"": 105, ""Story Rich"": 99, ""Text-Based"": 89, ""Adventure"": 83, ""Singleplayer"": 80, ""Simulation"": 70, ""Sexual Content"": 69, ""Multiple Endings"": 46, ""Mature"": 43, ""Psychological Horror"": 37, ""Thriller"": 36}"
1424660,9-nine-:Episode 4,Casual,Casual;Visual Novel;Dating Sim;Anime;2D;Sexual Content;Story Rich;Colorful;Cartoon;Fantasy;Nudity;Sci-fi;Singleplayer;Mystery;Gore;Violent;Music;Supernatural;Hentai;Romance,"{""Casual"": 75, ""Visual Novel"": 56, ""Dating Sim"": 47, ""Anime"": 44, ""2D"": 41, ""Sexual Content"": 39, ""Story Rich"": 32, ""Colorful"": 31, ""Cartoon"": 29, ""Fantasy"": 28, ""Nudity"": 25, ""Sci-fi"": 21, ""Singleplayer"": 20, ""Mystery"": 19, ""Gore"": 18, ""Violent"": 18, ""Music"": 16, ""Supernatural"": 12, ""Hentai"": 7, ""Romance"": 5}"
1567800,星空列车与白的旅行,Adventure,Visual Novel;Cute;Adventure;Anime;Singleplayer;Linear;Wholesome;Mature,"{""Visual Novel"": 109, ""Cute"": 84, ""Adventure"": 74, ""Anime"": 66, ""Singleplayer"": 51, ""Linear"": 46, ""Wholesome"": 32, ""Mature"": 11}"
1765350,候鸟,Adventure,Word Game;2D Platformer;Interactive Fiction;Dating Sim;Adventure;Story Rich;2D;Drama;Visual Novel;Singleplayer,"{""Word Game"": 49, ""2D Platformer"": 46, ""Interactive Fiction"": 46, ""Dating Sim"": 42, ""Adventure"": 40, ""Story Rich"": 36, ""2D"": 33, ""Drama"": 28, ""Visual Novel"": 25, ""Singleplayer"": 21}"
1777430,恋爱绮谭 不存在的真相,"Adventure, Casual",Interactive Fiction;Word Game;Visual Novel;Dating Sim;Cute;Romance;Text-Based;Story Rich;Multiple Endings;Mystery;Anime;Casual;Drama;Emotional;Adventure;Singleplayer;Horror;Sexual Content;LGBTQ+,"{""Interactive Fiction"": 136, ""Word Game"": 132, ""Visual Novel"": 130, ""Dating Sim"": 127, ""Cute"": 117, ""Romance"": 108, ""Text-Based"": 104, ""Story Rich"": 104, ""Multiple Endings"": 101, ""Mystery"": 91, ""Anime"": 90, ""Casual"": 89, ""Drama"": 87, ""Emotional"": 66, ""Adventure"": 47, ""Singleplayer"": 32, ""Horror"": 31, ""Sexual Content"": 26, ""LGBTQ+"": 9}"
1817230,Hi-Fi RUSH,Action,Rhythm;Action;Hack and Slash;Great Soundtrack;Singleplayer;Cartoony;Action-Adventure;Music;Platformer;Character Action Game;Colorful;Spectacle fighter;Comedy;Stylized;Beat 'em up;Anime;Cyberpunk;Third Person;Robots;Adventure,"{""Rhythm"": 226, ""Action"": 195, ""Hack and Slash"": 175, ""Great Soundtrack"": 158, ""Singleplayer"": 157, ""Cartoony"": 130, ""Action-Adventure"": 127, ""Music"": 113, ""Platformer"": 112, ""Character Action Game"": 105, ""Colorful"": 95, ""Spectacle fighter"": 95, ""Comedy"": 80, ""Stylized"": 79, ""Beat 'em up"": 75, ""Anime"": 63, ""Cyberpunk"": 58, ""Third Person"": 50, ""Robots"": 47, ""Adventure"": 35}"
1954420,Riichi City,,Sexual Content;Casual;Anime;Psychological Horror;Thriller;Card Game;Horror;Cute;Modern;Strategy;RTS;Card Battler;JRPG;Funny;Sports;Real Time Tactics;2.5D;Souls-like;Board Game;Drama,"{""Sexual Content"": 338, ""Casual"": 327, ""Anime"": 318, ""Psychological Horror"": 308, ""Thriller"": 298, ""Card Game"": 291, ""Horror"": 283, ""Cute"": 279, ""Modern"": 275, ""Strategy"": 273, ""RTS"": 257, ""Card Battler"": 253, ""JRPG"": 253, ""Funny"": 252, ""Sports"": 252, ""Real Time Tactics"": 248, ""2.5D"": 247, ""Souls-like"": 246, ""Board Game"": 240, ""Drama"": 233}"
2156620,The Future Radio and the Artificial Pigeons,Adventure,Mystery;Visual Novel;Story Rich;Adventure;Romance;Choices Matter;Emotional;Drama;Cute;Anime;2D;Nudity;Futuristic;Sexual Content;Sci-fi;Surreal;Multiple Endings;Singleplayer;Casual;Interactive Fiction,"{""Mystery"": 114, ""Visual Novel"": 105, ""Story Rich"": 99, ""Adventure"": 94, ""Romance"": 90, ""Choices Matter"": 83, ""Emotional"": 76, ""Drama"": 73, ""Cute"": 70, ""Anime"": 69, ""2D"": 64, ""Nudity"": 62, ""Futuristic"": 58, ""Sexual Content"": 57, ""Sci-fi"": 55, ""Surreal"": 51, ""Multiple Endings"": 48, ""Singleplayer"": 45, ""Casual"": 38, ""Interactive Fiction"": 37}"
2242710,Koi x Shin Ai Kanojo,"Adventure, Casual",Casual;Adventure;Visual Novel;Dating Sim;Sexual Content;Anime;Interactive Fiction;Cute;Story Rich;Drama;Cartoony;2D Platformer;Multiple Endings;FPS;Singleplayer;Hentai;Comedy;Mature;Fantasy,"{""Casual"": 71, ""Adventure"": 65, ""Visual Novel"": 54, ""Dating Sim"": 51, ""Sexual Content"": 44, ""Anime"": 43, ""Interactive Fiction"": 41, ""Cute"": 31, ""Story Rich"": 29, ""Drama"": 29, ""Cartoony"": 27, ""2D Platformer"": 27, ""Multiple Endings"": 22, ""FPS"": 21, ""Singleplayer"": 17, ""Hentai"": 7, ""Comedy"": 6, ""Mature"": 6, ""Fantasy"": 5}"
2458530,魔女的夜宴,"Adventure, Casual",Sexual Content;FPS;Hentai;Dating Sim;Mature;Visual Novel;Nudity;Casual;Interactive Fiction;Multiple Endings;Anime;NSFW;Adventure;Drama;Singleplayer;Cartoony;Cute;2D Platformer;Story Rich;Psychological Horror,"{""Sexual Content"": 365, ""FPS"": 309, ""Hentai"": 225, ""Dating Sim"": 185, ""Mature"": 181, ""Visual Novel"": 172, ""Nudity"": 147, ""Casual"": 110, ""Interactive Fiction"": 101, ""Multiple Endings"": 100, ""Anime"": 89, ""NSFW"": 83, ""Adventure"": 80, ""Drama"": 70, ""Singleplayer"": 53, ""Cartoony"": 50, ""Cute"": 48, ""2D Platformer"": 44, ""Story Rich"": 34, ""Psychological Horror"": 16}"
2475040,纯爱独白：小小 Purelove Monologue: Xiaoxiao,"Adventure, Casual, Indie",Visual Novel;Anime;Casual;Indie;Sexual Content;Dating Sim;Mature;Nudity;Modern;Singleplayer;Story Rich;Romance;LGBTQ+;FPS;Cute;Hentai;NSFW;Multiple Endings;Female Protagonist;Adventure,"{""Visual Novel"": 142, ""Anime"": 136, ""Casual"": 131, ""Indie"": 126, ""Sexual Content"": 124, ""Dating Sim"": 123, ""Mature"": 118, ""Nudity"": 115, ""Modern"": 106, ""Singleplayer"": 100, ""Story Rich"": 91, ""Romance"": 86, ""LGBTQ+"": 85, ""FPS"": 74, ""Cute"": 71, ""Hentai"": 59, ""NSFW"": 40, ""Multiple Endings"": 28, ""Female Protagonist"": 26, ""Adventure"": 20}"
2981450,Mystery Lover:Nonexistent Memories,Adventure,,{}
310850,Onikira - Demon Killer,"Action, Adventure, Indie",Action;Adventure;Indie;Platformer;2D;Beat 'em up;Hack and Slash;Side Scroller;Singleplayer,"{""Action"": 31, ""Adventure"": 29, ""Indie"": 29, ""Platformer"": 15, ""2D"": 11, ""Beat 'em up"": 11, ""Hack and Slash"": 9, ""Side Scroller"": 6, ""Singleplayer"": 6}"
610780,Crazy Buggy Racing,"Action, Racing, Simulation, Sports",Racing;Action;Sports;Automobile Sim;Simulation,"{""Racing"": 51, ""Action"": 32, ""Sports"": 31, ""Automobile Sim"": 31, ""Simulation"": 30}"
1066890,Automobilista 2,"Action, Indie, Racing, Simulation, Sports",Racing;Simulation;Sports;VR;Automobile Sim;Indie;Action;Driving;Multiplayer;Realistic;Singleplayer,"{""Racing"": 140, ""Simulation"": 129, ""Sports"": 110, ""VR"": 32, ""Automobile Sim"": 27, ""Indie"": 24, ""Action"": 20, ""Driving"": 17, ""Multiplayer"": 16, ""Realistic"": 13, ""Singleplayer"": 7}"
1173370,Slapshot: Rebound,"Action, Casual, Indie, Sports, Free to Play, Early Access",Early Access;Sports;Arcade;Hockey;Multiplayer;Physics;Action;PvP;e-sports;Competitive;Real Time Tactics;PvE;Tutorial;Character Customization;3D;Third Person;Controller;Top-Down;Funny;Team-Based,"{""Early Access"": 301, ""Sports"": 273, ""Arcade"": 273, ""Hockey"": 265, ""Multiplayer"": 265, ""Physics"": 264, ""Action"": 263, ""PvP"": 246, ""e-sports"": 241, ""Competitive"": 238, ""Real Time Tactics"": 237, ""PvE"": 234, ""Tutorial"": 231, ""Character Customization"": 229, ""3D"": 217, ""Third Person"": 206, ""Controller"": 195, ""Top-Down"": 184, ""Funny"": 181, ""Team-Based"": 176}"
1465360,SnowRunner,"Adventure, Simulation",Simulation;Automobile Sim;Multiplayer;Adventure;Driving;Exploration;Realistic;Sandbox;Open World;First-Person;Third Person;Immersive Sim;Atmospheric;Snow;Racing;Physics;Nature;ATV;Team-Based;PvE,"{""Simulation"": 591, ""Automobile Sim"": 567, ""Multiplayer"": 524, ""Adventure"": 513, ""Driving"": 492, ""Exploration"": 481, ""Realistic"": 459, ""Sandbox"": 439, ""Open World"": 431, ""First-Person"": 400, ""Third Person"": 373, ""Immersive Sim"": 359, ""Atmospheric"": 355, ""Snow"": 347, ""Racing"": 333, ""Physics"": 321, ""Nature"": 314, ""ATV"": 290, ""Team-Based"": 204, ""PvE"": 202}"
1869590,Omega Strikers,,,{}
70100,Hacker Evolution,Simulation,Simulation;Hacking;Puzzle;Singleplayer;Text-Based;Strategy;Cyberpunk;Difficult;Indie;Action;Education;Exploration;Typing;Immersive Sim;2D;Minimalist;Funny;Tactical;Time Management;Great Soundtrack,"{""Simulation"": 126, ""Hacking"": 95, ""Puzzle"": 90, ""Singleplayer"": 87, ""Text-Based"": 85, ""Strategy"": 79, ""Cyberpunk"": 76, ""Difficult"": 74, ""Indie"": 72, ""Action"": 70, ""Education"": 65, ""Exploration"": 60, ""Typing"": 56, ""Immersive Sim"": 56, ""2D"": 54, ""Minimalist"": 51, ""Funny"": 44, ""Tactical"": 40, ""Time Management"": 31, ""Great Soundtrack"": 29}"
70120,Hacker Evolution Duality,"Indie, Simulation",Indie;Hacking;Simulation,"{""Indie"": 44, ""Hacking"": 34, ""Simulation"": 23}"
255520,Viscera Cleanup Detail: Shadow Warrior,"Indie, Simulation",Simulation;Gore;First-Person;Indie;Blood;Action;Comedy;Funny;Multiplayer;Singleplayer;Casual;Co-op;Short;FPS;Horror,"{""Simulation"": 461, ""Gore"": 133, ""First-Person"": 113, ""Indie"": 98, ""Blood"": 86, ""Action"": 82, ""Comedy"": 81, ""Funny"": 47, ""Multiplayer"": 38, ""Singleplayer"": 38, ""Casual"": 24, ""Co-op"": 24, ""Short"": 16, ""FPS"": 10, ""Horror"": 7}"
265210,Viscera Cleanup Detail: Santa's Rampage,"Gore, Indie, Simulation",Simulation;Gore;Co-op;Blood;Indie;Comedy;Multiplayer;Funny;First-Person;Singleplayer;Horror;Physics;Casual;Action;Dark Humor;Psychological Horror;Violent;Sandbox;Sci-fi;Online Co-Op,"{""Simulation"": 157, ""Gore"": 153, ""Co-op"": 107, ""Blood"": 106, ""Indie"": 104, ""Comedy"": 101, ""Multiplayer"": 100, ""Funny"": 97, ""First-Person"": 82, ""Singleplayer"": 60, ""Horror"": 55, ""Physics"": 47, ""Casual"": 39, ""Action"": 27, ""Dark Humor"": 16, ""Psychological Horror"": 11, ""Violent"": 8, ""Sandbox"": 8, ""Sci-fi"": 7, ""Online Co-Op"": 5}"
311860,Data Hacker: Initiation,"Adventure, Indie, RPG, Simulation",RPG;Indie;Adventure;RPGMaker;Simulation;JRPG;Pixel Graphics,"{""RPG"": 415, ""Indie"": 32, ""Adventure"": 26, ""RPGMaker"": 23, ""Simulation"": 22, ""JRPG"": 8, ""Pixel Graphics"": 7}"
331790,Data Hacker: Reboot,"Adventure, Indie, RPG",Indie;RPG;Adventure;RPGMaker;Anime;Story Rich;Sci-fi;Fantasy;Crafting;JRPG,"{""Indie"": 593, ""RPG"": 32, ""Adventure"": 27, ""RPGMaker"": 23, ""Anime"": 15, ""Story Rich"": 14, ""Sci-fi"": 14, ""Fantasy"": 13, ""Crafting"": 12, ""JRPG"": 8}"
1466640,Road 96 ,"Action, Adventure, Indie",First-Person;Colorful;1990's;Adventure;Choices Matter;Story Rich;Atmospheric;Multiple Endings;Narration;Choose Your Own Adventure;Dystopian ;Exploration;Singleplayer;Emotional;Political;Procedural Generation;Interactive Fiction;Dynamic Narration;Action;Nonlinear,"{""First-Person"": 899, ""Colorful"": 876, ""1990's"": 870, ""Adventure"": 808, ""Choices Matter"": 793, ""Story Rich"": 768, ""Atmospheric"": 684, ""Multiple Endings"": 671, ""Narration"": 644, ""Choose Your Own Adventure"": 632, ""Dystopian "": 625, ""Exploration"": 592, ""Singleplayer"": 583, ""Emotional"": 580, ""Political"": 566, ""Procedural Generation"": 550, ""Interactive Fiction"": 516, ""Dynamic Narration"": 515, ""Action"": 510, ""Nonlinear"": 502}"
1583320,Pro Soccer Online,Sports,Sports;Football (Soccer);Multiplayer;3D;e-sports;Third Person;First-Person;Real Time Tactics;Team-Based;Early Access;Competitive;Character Customization;PvP;Controller;Casual;Singleplayer;VR;Action;Psychological Horror;Free to Play,"{""Sports"": 124, ""Football (Soccer)"": 112, ""Multiplayer"": 79, ""3D"": 69, ""e-sports"": 63, ""Third Person"": 61, ""First-Person"": 59, ""Real Time Tactics"": 52, ""Team-Based"": 47, ""Early Access"": 45, ""Competitive"": 39, ""Character Customization"": 34, ""PvP"": 34, ""Controller"": 15, ""Casual"": 8, ""Singleplayer"": 7, ""VR"": 7, ""Action"": 6, ""Psychological Horror"": 6, ""Free to Play"": 6}"
1754840,Hacker Simulator,"Indie, Simulation",Hacking;Simulation;Singleplayer;Realistic;Crime;Typing;Programming;Adventure;Detective;Cyberpunk;Atmospheric;Sandbox;First-Person;Action;Indie,"{""Hacking"": 116, ""Simulation"": 109, ""Singleplayer"": 93, ""Realistic"": 90, ""Crime"": 74, ""Typing"": 65, ""Programming"": 64, ""Adventure"": 62, ""Detective"": 62, ""Cyberpunk"": 59, ""Atmospheric"": 57, ""Sandbox"": 54, ""First-Person"": 53, ""Action"": 52, ""Indie"": 49}"
1790360,Heist Kitty: Multiplayer Cat Simulator Game,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation",Singleplayer;Action;Adventure;Casual;Cats;RPG;Simulation;Story Rich;Family Friendly;Multiplayer;Online Co-Op;Co-op;Third Person;Cute;Exploration;Sandbox;Physics;Automobile Sim;Racing;Funny,"{""Singleplayer"": 433, ""Action"": 419, ""Adventure"": 413, ""Casual"": 410, ""Cats"": 410, ""RPG"": 407, ""Simulation"": 402, ""Story Rich"": 396, ""Family Friendly"": 393, ""Multiplayer"": 392, ""Online Co-Op"": 384, ""Co-op"": 382, ""Third Person"": 376, ""Cute"": 371, ""Exploration"": 366, ""Sandbox"": 363, ""Physics"": 349, ""Automobile Sim"": 348, ""Racing"": 341, ""Funny"": 338}"
2095340,Road 96: Mile 0,"Action, Adventure, Casual, Indie",Choose Your Own Adventure;Exploration;Interactive Fiction;Visual Novel;Walking Simulator;3D;First-Person;Choices Matter;Conversation;Casual;Multiple Endings;Story Rich;Stylized;Dystopian ;Colorful;Emotional;Investigation;Adventure;Singleplayer;Narrative,"{""Choose Your Own Adventure"": 210, ""Exploration"": 202, ""Interactive Fiction"": 198, ""Visual Novel"": 196, ""Walking Simulator"": 190, ""3D"": 182, ""First-Person"": 179, ""Choices Matter"": 177, ""Conversation"": 172, ""Casual"": 171, ""Multiple Endings"": 167, ""Story Rich"": 162, ""Stylized"": 146, ""Dystopian "": 146, ""Colorful"": 139, ""Emotional"": 137, ""Investigation"": 128, ""Adventure"": 126, ""Singleplayer"": 122, ""Narrative"": 114}"
2191480,Jumbo Airport Story,"Casual, Indie, Simulation, Strategy",Simulation;Casual;Strategy;Flight;RTS;Colony Sim;City Builder;2D Platformer;2D;Cute;Pixel Graphics;Top-Down;Retro;Building;Management;Economy;Controller;Singleplayer;Base-Building;Indie,"{""Simulation"": 219, ""Casual"": 210, ""Strategy"": 206, ""Flight"": 184, ""RTS"": 172, ""Colony Sim"": 165, ""City Builder"": 157, ""2D Platformer"": 147, ""2D"": 142, ""Cute"": 133, ""Pixel Graphics"": 128, ""Top-Down"": 118, ""Retro"": 106, ""Building"": 92, ""Management"": 78, ""Economy"": 60, ""Controller"": 43, ""Singleplayer"": 29, ""Base-Building"": 27, ""Indie"": 22}"
2215390,Five Nights at Freddy's: Secret of the Mimic,Indie,,{}
2638370,Five Nights at Freddy's: Into the Pit,"Action, Adventure, Indie",Horror;Pixel Graphics;Adventure;2D;Singleplayer;Exploration;1980s;Action;Multiple Endings;Indie;Point & Click;Dark;Atmospheric;Time Travel;LGBTQ+;Side Scroller;1990's;Survival Horror;Psychological Horror;Robots,"{""Horror"": 183, ""Pixel Graphics"": 150, ""Adventure"": 105, ""2D"": 89, ""Singleplayer"": 79, ""Exploration"": 70, ""1980s"": 63, ""Action"": 60, ""Multiple Endings"": 58, ""Indie"": 55, ""Point & Click"": 54, ""Dark"": 44, ""Atmospheric"": 41, ""Time Travel"": 38, ""LGBTQ+"": 36, ""Side Scroller"": 36, ""1990's"": 34, ""Survival Horror"": 29, ""Psychological Horror"": 29, ""Robots"": 28}"
13600,Prince of Persia: The Sands of Time,"Action, Adventure",Action;Adventure;Parkour;Platformer;Classic;Third Person;Singleplayer;Time Manipulation;Puzzle-Platformer;Story Rich;Time Travel;Fantasy;Great Soundtrack;Atmospheric;Hack and Slash;3D Platformer;Controller;Puzzle;Retro;Action-Adventure,"{""Action"": 130, ""Adventure"": 119, ""Parkour"": 101, ""Platformer"": 92, ""Classic"": 90, ""Third Person"": 88, ""Singleplayer"": 73, ""Time Manipulation"": 58, ""Puzzle-Platformer"": 57, ""Story Rich"": 54, ""Time Travel"": 40, ""Fantasy"": 35, ""Great Soundtrack"": 34, ""Atmospheric"": 28, ""Hack and Slash"": 26, ""3D Platformer"": 20, ""Controller"": 20, ""Puzzle"": 9, ""Retro"": 6, ""Action-Adventure"": 6}"
107800,Rochard,"Action, Casual, Indie",Platformer;Indie;Action;Puzzle;Physics;Sci-fi;Casual;Singleplayer;Puzzle-Platformer;2D;Side Scroller;2.5D;Great Soundtrack;Space;Adventure,"{""Platformer"": 100, ""Indie"": 88, ""Action"": 81, ""Puzzle"": 65, ""Physics"": 57, ""Sci-fi"": 45, ""Casual"": 40, ""Singleplayer"": 34, ""Puzzle-Platformer"": 30, ""2D"": 21, ""Side Scroller"": 19, ""2.5D"": 17, ""Great Soundtrack"": 15, ""Space"": 13, ""Adventure"": 12}"
246700,Strike Vector,"Action, Indie",Action;Multiplayer;Indie;Arena Shooter;Fast-Paced;FPS;Flight;Third-Person Shooter;Shooter;Space;Difficult;Sci-fi;First-Person;Mechs;Simulation;Competitive;6DOF,"{""Action"": 127, ""Multiplayer"": 88, ""Indie"": 87, ""Arena Shooter"": 72, ""Fast-Paced"": 69, ""FPS"": 52, ""Flight"": 44, ""Third-Person Shooter"": 42, ""Shooter"": 41, ""Space"": 39, ""Difficult"": 36, ""Sci-fi"": 29, ""First-Person"": 26, ""Mechs"": 24, ""Simulation"": 24, ""Competitive"": 20, ""6DOF"": 8}"
285580,ACE - Arena: Cyber Evolution,"Action, Free To Play, Indie, Sports, Strategy, Early Access",Early Access;Free to Play;Sports;Multiplayer;Action;Indie;Strategy;Co-op;MOBA;Football (Soccer);Football (American);Robots;Open World;Hockey;Massively Multiplayer,"{""Early Access"": 191, ""Free to Play"": 113, ""Sports"": 79, ""Multiplayer"": 73, ""Action"": 67, ""Indie"": 65, ""Strategy"": 61, ""Co-op"": 31, ""MOBA"": 24, ""Football (Soccer)"": 20, ""Football (American)"": 15, ""Robots"": 11, ""Open World"": 10, ""Hockey"": 9, ""Massively Multiplayer"": 6}"
322770,Vanishing Realms,"Action, Adventure, RPG",VR;Swordplay;Action RPG;RPG;3D;Adventure;Action;First-Person;Fantasy;Magic;Singleplayer,"{""VR"": 145, ""Swordplay"": 79, ""Action RPG"": 57, ""RPG"": 53, ""3D"": 50, ""Adventure"": 41, ""Action"": 39, ""First-Person"": 37, ""Fantasy"": 30, ""Magic"": 27, ""Singleplayer"": 6}"
327140,Tilt Brush,"Free To Play, Design & Illustration",Design & Illustration;VR;Free to Play;Hand-drawn;Casual;Singleplayer,"{""Design & Illustration"": 61, ""VR"": 59, ""Free to Play"": 48, ""Hand-drawn"": 21, ""Casual"": 13, ""Singleplayer"": 13}"
341800,Keep Talking and Nobody Explodes,Indie,Co-op;Local Multiplayer;Puzzle;Party Game;Board Game;Local Co-Op;Multiplayer;Party;VR;Casual;Indie;Difficult;Team-Based;Family Friendly;Funny;Asymmetric VR;Moddable;Procedural Generation;Simulation;Strategy,"{""Co-op"": 471, ""Local Multiplayer"": 378, ""Puzzle"": 374, ""Party Game"": 368, ""Board Game"": 360, ""Local Co-Op"": 286, ""Multiplayer"": 259, ""Party"": 246, ""VR"": 228, ""Casual"": 178, ""Indie"": 172, ""Difficult"": 168, ""Team-Based"": 167, ""Family Friendly"": 158, ""Funny"": 157, ""Asymmetric VR"": 153, ""Moddable"": 148, ""Procedural Generation"": 145, ""Simulation"": 142, ""Strategy"": 136}"
352160,Curse of Mermos,"Action, Free To Play, Indie",Free to Play;Indie;Action;Hack and Slash;Multiplayer,"{""Free to Play"": 63, ""Indie"": 33, ""Action"": 31, ""Hack and Slash"": 16, ""Multiplayer"": 14}"
381940,Trials on Tatooine,Action,VR;Action;Free to Play,"{""VR"": 35, ""Action"": 32, ""Free to Play"": 15}"
386690,Fantastic Contraption,"Indie, Simulation, Strategy",VR;Puzzle;Strategy;Physics;Building;Level Editor;Puzzle-Platformer;Immersive Sim;Simulation;3D;First-Person;Sci-fi;Logic;Automation;Relaxing;3D Vision;Education;Singleplayer;Indie;Psychological Horror,"{""VR"": 177, ""Puzzle"": 171, ""Strategy"": 169, ""Physics"": 169, ""Building"": 165, ""Level Editor"": 155, ""Puzzle-Platformer"": 153, ""Immersive Sim"": 150, ""Simulation"": 146, ""3D"": 144, ""First-Person"": 142, ""Sci-fi"": 139, ""Logic"": 136, ""Automation"": 134, ""Relaxing"": 130, ""3D Vision"": 124, ""Education"": 118, ""Singleplayer"": 105, ""Indie"": 101, ""Psychological Horror"": 61}"
412740,Audioshield,Indie,Indie;VR;Music;Music-Based Procedural Generation;Rhythm,"{""Indie"": 48, ""VR"": 39, ""Music"": 29, ""Music-Based Procedural Generation"": 24, ""Rhythm"": 20}"
427240,Cosmic Trip,"Action, Adventure, Indie, Strategy",VR;Singleplayer;FPS;Action RTS;Tower Defense;RTS;PvE;Strategy;Shooter;Action-Adventure;First-Person;3D;Gun Customization;Resource Management;Action;Anime;Cartoony;Colorful;Sci-fi;Space,"{""VR"": 246, ""Singleplayer"": 240, ""FPS"": 237, ""Action RTS"": 234, ""Tower Defense"": 231, ""RTS"": 225, ""PvE"": 220, ""Strategy"": 218, ""Shooter"": 211, ""Action-Adventure"": 206, ""First-Person"": 203, ""3D"": 201, ""Gun Customization"": 198, ""Resource Management"": 191, ""Action"": 189, ""Anime"": 186, ""Cartoony"": 182, ""Colorful"": 174, ""Sci-fi"": 168, ""Space"": 157}"
433600,A Legend of Luca,"Action, Adventure, Indie",Action;Adventure;Indie;Action Roguelike;VR;Rogue-lite;FPS;Replay Value;Great Soundtrack;Exploration;Shooter;Rogue-like;Shoot 'Em Up;Bullet Hell,"{""Action"": 39, ""Adventure"": 34, ""Indie"": 34, ""Action Roguelike"": 25, ""VR"": 24, ""Rogue-lite"": 20, ""FPS"": 15, ""Replay Value"": 14, ""Great Soundtrack"": 13, ""Exploration"": 12, ""Shooter"": 11, ""Rogue-like"": 7, ""Shoot 'Em Up"": 6, ""Bullet Hell"": 6}"
446770,Skeet: VR Target Shooting,"Action, Simulation",Action;Simulation;VR,"{""Action"": 25, ""Simulation"": 25, ""VR"": 15}"
452490,The Cubicle.,"Action, Adventure, Casual, Free To Play, Indie, Simulation",Free to Play;VR;Horror;Simulation;Adventure;Indie;Action;Casual,"{""Free to Play"": 60, ""VR"": 46, ""Horror"": 39, ""Simulation"": 37, ""Adventure"": 35, ""Indie"": 34, ""Action"": 32, ""Casual"": 31}"
453170,Destinations,"Casual, Free to Play, Simulation, Early Access",Early Access;VR;Multiplayer;Exploration;Free to Play;Simulation;Casual;VR Only,"{""Early Access"": 41, ""VR"": 37, ""Multiplayer"": 29, ""Exploration"": 27, ""Free to Play"": 26, ""Simulation"": 23, ""Casual"": 20, ""VR Only"": 1}"
455440,Spell Fighter VR,"Action, Adventure, Indie, RPG",Action;Adventure;RPG;Indie;VR;Free to Play,"{""Action"": 32, ""Adventure"": 29, ""RPG"": 26, ""Indie"": 23, ""VR"": 16, ""Free to Play"": 12}"
484870,Battle Dome,Action,Action;VR;FPS;Multiplayer,"{""Action"": 25, ""VR"": 25, ""FPS"": 9, ""Multiplayer"": 8}"
